,action,observation.state,timestamp,frame_index,episode_index,index,task_index
0,[0. 0. 0.],[0. 0. 0.],0.0,0,0,0,0
1,[0. 0. 0.],[0. 0. 0.],0.033333335,1,0,1,0
2,[0. 0. 0.],[0. 0. 0.],0.06666667,2,0,2,0
3,[0. 0. 0.],[0. 0. 0.],0.1,3,0,3,0
4,[0. 0. 0.],[0. 0. 0.],0.13333334,4,0,4,0
5,[0. 0. 0.],[0. 0. 0.],0.16666667,5,0,5,0
6,[0. 0. 0.],[0. 0. 0.],0.2,6,0,6,0
7,[0. 0. 0.],[0. 0. 0.],0.23333333,7,0,7,0
8,[0. 0. 0.],[0. 0. 0.],0.26666668,8,0,8,0
9,[0. 0. 0.],[0. 0. 0.],0.3,9,0,9,0
10,[0. 0. 0.],[0. 0. 0.],0.33333334,10,0,10,0
11,[0. 0. 0.],[0. 0. 0.],0.36666667,11,0,11,0
12,[0.1 0.  0. ],[0. 0. 0.],0.4,12,0,12,0
13,[0.1 0.  0. ],[0. 0. 0.],0.43333334,13,0,13,0
14,[0.1 0.  0. ],[0. 0. 0.],0.46666667,14,0,14,0
15,[0.1 0.  0. ],[ 0.00885644 -0.00255663  0.5859375 ],0.5,15,0,15,0
16,[0.1 0.  0. ],[0.04649632 0.01150486 1.7578125 ],0.53333336,16,0,16,0
17,[0.1 0.  0. ],[ 7.5279757e-02  2.2631122e-18 -5.5294311e-16],0.56666666,17,0,17,0
18,[0.1 0.  0. ],[ 0.09520675 -0.00127832  1.171875  ],0.6,18,0,18,0
19,[0.1 0.  0. ],[ 0.09963498  0.00127832 -1.171875  ],0.6333333,19,0,19,0
20,[0.1 0.  0. ],[0.09963498 0.00127832 0.5859375 ],0.6666667,20,0,20,0
21,[0.1 0.1 0. ],[1.0184909e-01 4.1503117e-18 3.1208540e-16],0.7,21,0,21,0
22,[0.1 0.1 0. ],[ 0.09742086 -0.00255663  0.5859375 ],0.73333335,22,0,22,0
23,[0.1 0.1 0. ],[9.7420864e-02 4.2212727e-18 3.4461146e-16],0.76666665,23,0,23,0
24,[0.1 0.1 0. ],[0.09742086 0.01533981 1.7578125 ],0.8,24,0,24,0
